0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
test-freeze-cls_None-train_80,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_0,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",0,4,0.7332831025123596,50.0,0.7354895353317261,50.0,0.692040720156261,50.0,0.7277740297220816,0.7277787147917018,0.7277693446524616
test-freeze-cls_None-train_80,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_1,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",1,4,0.7107236325740814,57.5,0.7349956035614014,50.0,0.6908720954930111,50.0,0.7172419932160192,0.7172466782856393,0.7172373081463991
test-freeze-cls_None-train_80,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_2,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",2,4,0.7002824306488037,51.25,0.706870698928833,50.0,0.6928170350464907,50.0,0.7357808137028916,0.7357808137028915,0.7357808137028916
test-freeze-cls_None-train_80,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_3,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",3,4,0.7219869494438171,52.5,0.7000116586685181,50.0,0.6902376215953332,63.63636363636363,0.7098442682858268,0.7098442682858267,0.7098442682858268
test-freeze-cls_None-train_80,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_4,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",4,4,0.7184293568134308,38.75,0.7028591156005859,50.0,0.6921037863859366,50.0,0.6792976143625494,0.6792976143625494,0.6792976143625494
test-freeze-cls_None-train_20,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_0,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",0,4,0.6888975620269775,50.0,0.6711214780807495,60.0,0.7069274202627399,49.906890130353815,0.3899877933751318,0.3899877933751318,0.3899877933751318
test-freeze-cls_None-train_20,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_1,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",1,4,0.6755983352661132,50.0,0.8613241910934448,40.0,0.7741491013732036,49.906890130353815,0.256103312434112,0.256103312434112,0.25610331243411194
test-freeze-cls_None-train_20,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_2,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",2,4,0.7071611046791076,50.0,0.7020789384841919,40.0,0.7048945523507102,49.906890130353815,0.2884543361260611,0.28845780391721687,0.28845086833490535
test-freeze-cls_None-train_20,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_3,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",3,4,0.6927839040756225,50.0,0.6945784687995911,20.0,0.7062399512784663,49.906890130353815,0.3406896743050547,0.3406896743050547,0.34068967430505465
test-freeze-cls_None-train_20,batch_8-lr_0.001-wd_5e-05-tf_cutout,seed_4,1,10,True,2,5,True,test,cutout,DenseNet,20,0.25,/scratch/connectome/study_group/VAE_ADHD/data,./csv/fsdat_baseline.csv,cls,Dx.new,2,AD/CN,8,0.001,5e-05,reshape,"[1, 80, 80, 80]",4,4,0.7310831785202027,50.0,0.6761912107467651,60.0,0.7320050791433181,49.906890130353815,0.2898275814237363,0.2898241136325806,0.2898310492148921
